county fair	second place ribbon	in an empty stall
against his coat	i brush my lips	the silence of snowflakes
away from eyes	the stairwell holds	us in its arms
that sonofabitch	on the corner has a knife	the rain glistens on it
still	childless:	milkweed
winters end	a bitterness remaining	in the dried apricots
the old garden fence	now keeps the goldenrod	from the goldenrod
thin icicles	on the telephone wire	her distant voice
hoping the shape	of the navel will be good	father cuts the cord
one cricket sound and silence lighting the autumn garden
hot rock by the stream	each of the babys toeprints	evaporating
switching off the light	switching off the shadows
in these dark   waters   drawn up from   my frozen well ...   glittering of spring
standing still   at dusk   listen ... in far   distances   the song of froglings!
i dreamed of   battles   and was slain...   oh savage samurai!   insatiable fleas!
in silent   mid-night   our old scarecrow   topples down...   weird hollow echo
women planting   rice...   ugly every bit   about them...   but their ancient song
wild geese write   a line   flap-flapping   across the sky ...   comical dutch script
dead my old   fine hopes   and dry my dreaming   but still...   iris, blue each spring
in this windy   nest   open your hungry   mouth in vain...   issa, stepchild bird
ballet in the   air ...   twin butterflies   until, twice white   they meet, they mate
on the death   of his child   dew evaporates   and all our world   is dew ... so dear,   so fresh, so fleeting
black cloudbank   broken   scatters in the   night ... now see   moon-lighted mountains!
seek on high   bare trails   sky-reflecting   violets...   mountain-top jewels
for a lovely   bowl   let us arrange these   flowers...   since there is no rice
now that eyes   of hawks   in dusky night   are darkened...   chirping of the quails
my two plum   trees are   so gracious ...   see, they flower   one now, one later
one fallen   flower   returning to the   branch? ... oh no!   a white butterfly
cloudbank   curling low?   ah! the mountain   yoshino ...   cherry cumulus!
fie! this   fickle world!   three days, neglected   cherry-branch ...   and you are bare
hanging the   lantern   on that full white   blooming bough...   exquisite your care!
april's air   stirs in   willow-leaves ...   a butterfly   floats and balances
in the sea-surf   edge   mingling with   bright small shells ..   bush-clover petals
the river   gathering may rains   from cold streamlets   for the sea ...   murmuring mogami
a gate made all   of twigs   with woven grass   for hinges ...   for a lock ... this snail
wind-blown,   rained on ...   bent barley-grass   you make me   narrow path indeed
arise from sleep,   old cat,   and with great yawns   and stretchings ...   amble out for love
white cloud of   mist   above white   cherry-blossoms ...   dawn-shining mountains
hi! my little   hut   is newly-thatched   i see...   blue morning-glories
in the city   fields   contemplating   cherry-trees ...   strangers are like friends
see, see, see!   oh see!   oh what to say?   ah yoshino ...   mountain-all-abloom!
green   shadow-dances ...   see our young   banana-tree   pattering the screen
don't touch my   plumtree!   said my friend   and saying so ...   broke the branch for me
twilight   whippoorwill ...   whistle on,   sweet deepener   of dark loneliness
reciting   scriptures...   strange the   wondrous blue i find   in morning-glories
many solemn   nights   blond moon, we stand   and marvel...   sleeping our noons away
mountain-rose   petals   falling, falling,   falling now ...   waterfall music
amorous cat,   alas   you too must yowl   with your love...   or even worse, without!
the laden wagon   runs   bumbling and creaking   down the road...   three peonies tremble
ah me! i am one   who spends his little   breakfast   morning-glory gazing
my good father   raged   when i snapped   the peony...   precious memory!
by that fallen   house   the pear-tree stands   full-blooming ...   an ancient battle-site
in the open   shop   paperweights on   picture books...   young springtime breeze
dim the grey   cow comes   mooing mooing   and mooing   out of the morning mist
take the round   flat moon   snap this twig   for handle...   what a pretty fan!
seas are wild   tonight...   stretching over   sado island   silent clouds of stars
why so scrawny,   cat?   starving for fat fish   or mice ...   or backyard love?
dewdrop, let me   cleanse   in your brief   sweet waters ...   these dark hands of life
lightning   flash, crash...   waiting in the   bamboo grove   see three dew-drops fall
ashes my burnt   hut ...   but wonderful   the cherry   blooming on my hill
life? butterfly   on a swaying grass   that's all ...   but exquisite!
glorious the   moon...   therefore our thanks   dark clouds   come to rest our necks
what a peony...   demanding to be   measured   by my little fan!
under   cherry-trees   soup, the salad,   fish and all ...   seasoned with petals
now from   cherry-trees ...   millions of maidens   flying   fierce war-lord storm
moon so bright   for love!   come closer, quilt...   enfold   my passionate cold!
too curious   flower   watching us pass,   met death...   our hungry donkey
cloud of   cherry-bloom ...   tolling twilight   bell ... temple   ueno? asakura?
must springtime   fade?   then cry all birds ...   and fishes'   cold pale eyes pour tears
a nursemaid   scarecrow...   frightening the   wind and sun   from playing baby
on her dead son   in what windy land   wanders now   my little dear   dragonfly hunter?
a saddening   world:   flowers whose sweet   blooms must fall...   as we too, alas...
describe   plum-blossoms?   better than my   verses ... white   wordless butterflies
lend me water please?   some fresh young   morning-glory,   careless ... took my well
a young sister   pitiful ... on my   outstretched palm   at dusk dies   the little firefly
you stupid   scarecrow!   under your very   stick-feet   birds are stealing beans!
afternoon   shower...   walking and talking   in the street:   umbrella and raincoat!
in the farther   field   a scarecrow kept me   company ...   walking as i walked
pretty   butterflies...   be careful of   pine-needle points   in this gusty wind!
ah, unrequited   love!   now elevate your chin   and keen   tom-cat, to the moon!
hi! kids   mimicking   cormorants ... you are   more like   real cormorants than   they!
buzzing the bee   trades   peony for peony   with the butterfly
such utter   silence!   even the crickets   singing...   muffled by hot rocks
far across low   mist   intermittently   the lake   lifts a snow-white sail
a white swan   swimming ...   parting with her   unmoved breast   cherry-petaled pond
for a cool   evening   i hired the   old temple porch ...   penny in the dish
quite a hundred   gourds   sprouting from   the fertile soul...   of a single vine
swallow in the   dusk...   spare my little   buzzing friends   among the flowers
old dark sleepy   pool...   quick unexpected   frog   goes plop! watersplash!
my shadowy path   i've swept all day   and now ... oh no!   camellia-shower!
hard the   beggar's bed ...   but sociable   and busy   with insect-talking
come come! come   out!   from bogs old frogs   command the dark   and look ... the stars!
over the   mountain   bright the full white   moon now smiles...   on the flower-thief
starting to   call you:   come watch   these butterflies ...   oh! i'm all alone
good friend   grasshopper   will you play   the caretaker   for my little grave?
a lost child   crying   stumbling over   the dark fields ...   catching fireflies
the snake   departed   but the little eyes   that glared...   dew, shining in the grass
ah! brave dragon-fly   ...   taking for your perch   this swatter   consecrate to death
i raised my   knife to it:   then walked   empty-handed on ...   proud rose of sharon
giddy   grasshopper   take care ... do not   leap and crush   these pearls of dewdrop
darting   dragon-fly ...   pull off its shiny   wings and look...   bright red pepper-pod
reply:   bright red pepper-pod ...   it needs but shiny   wings and look...   darting dragon-fly!
tiny sentences   brushing soft on   my shutters...   bush-clover voices
mirror-pond of   stars ...   suddenly a summer   shower   dimples the water
sadness at   twilight...   villain! i have   let my hand   cut that peony
in dim dusk and   scent   a witness   now half hidden...   evenfall orchid
now be a good   boy   take good care of   our house ...   cricket my child
wake! the sky   is light!   let us to the road   again...   companion butterfly!
stillness ...   then the bat   flying among   the willows   black against green sky
now my   loneliness   following   the fireworks...   look! a falling star!
stupid hot   melons...   rolling   like fat idiots   out from leafy shade!
for   morning-glories   i can foresee grave   danger...   single-stick practice
can't it get   away   from the sticky   pine-branches ...   cicada singing?
silent the old   town...   the scent of flowers   floating...   and evening bell
vendor of   bright fans   carrying his pack   of breeze...   suffocating heat!
voices of two   bells   that speak from   twilight temples...   ah! cool dialogue
deep in dark   forest   a woodcutter's   dull axe talking...   and a woodcutter
camellia-petal   fell in silent dawn ...   spilling   a water-jewel
in the twilight   rain   these brilliant-hued   hibiscus ...   a lovely sunset
friend, that   open mouth   reveals your   whole interior...   silly hollow frog!
butterfly   asleep   folded soft on   temple bell...   then bronze gong rang!
good evening breeze!   crooked and   meandering   your homeward journey
see the morning   breeze   ruffling his so   silky hair...   cool caterpillar
oh lucky   beggar!...   bright heaven   and cool earth   your summer outfit
the turnip   farmer rose   and with a fresh-   pulled turnip...   pointed to my road
flower in the   stream   thus too my lovely life   must end, another   flower...   to fall and float away
i am going out   ...   be good and play   together   my cricket children
not a voice or   stir ...   darkness lies on   fields and streets   sad: the moon has set
lady butterfly   perfumes her wings   by floating   over the orchid
if strangers   threaten   turn into fat   green bullfrogs...   pond-cooling melons
yellow evening   sun ...   long shadow   of the scarecrow   reaches to the road
a camellia   dropped down into   still waters   of a deep dark well
for the emperor   himself he will not   lift his hat ...   a stiff-backed scarecrow
in the holy   dusk   nightingales begin   their psalm...   good! the dinner-gong!
live in simple   faith ...   just as this   trusting cherry   flowers, fades, and falls
night is bright   with stars   ... silly woman,   whimpering:   shall i light the lamp?
black desolate   moor...   i bow before   the buddha   lighted in thunder
dirty   bath-water   where can i pour   you? ... insects   singing in the grass
wee bitter   cricket   crying all this   sunny day ...   or is he laughing?
a short summer   night...   but in this solemn   darkness   one peony bloomed
long the summer   day ...   patterns on   the ocean sand...   our idle footprints
angry i strode   home...   but stooping in   my garden   calm old willow-tree
oh do not swat   them ...   unhappy flies   forever   wringing their thin hands
see ... the   heavy leaf   on the silent   windless day ...   falls of its own will
rash tom-cat   lover...   careless even   of that rice   stuck in your whiskers
moon so bright   for love!   oh, hear the farmer   by that light...   flailing his lovely rice!
now the   swinging bridge   is quieted   with creepers...   like our tendrilled life
dancing in my   silks   money tossed itself   away...   pretty, this paper dress!
the sea   darkening...   oh voices of the   wild ducks   crying, whirling, white
white moth,   flutter off:   fly back into   my breast now   quickly, my own soul!
nine times   arising   to see the moon...   whose solemn pace   marks only midnight yet
watching, i   wonder   what poet could put   down his quill...   a pluperfect moon!
do your worst,   old frost   you can no longer   wound me ...   last chrysanthemum i
pebbles shining   clear,   and clear   six silent fishes...   deep autumn water
a bright autumn   moon...   in the shadow of   each grass   an insect chirping
you turn and   suddenly   there in purpling   autumn sky ...   white fujiami
here, where a   thousand   captains swore grand   conquest ... tall   grass their monument
yellow autumn   moon...   unimpressed   the scarecrow stands   simply looking bored
white chrysanthemum   ...   before that   perfect flower   scissors hesitate
cruel autumn   wind   cutting to the   very bones...   of my poor scarecrow
now in late   autumn   look, on my old   rubbish-heap ...   blue morning-glory
a single   cricket   chirps, chirps, chirps,   and is still ... my   candle sinks and dies
fireworks ended   and spectators   gone away...   ahd how vast and dark!
two ancient   pine-trees ...   a pair of gnarled   and sturdy hands   with ten green fingers
i must turn   over...   beware of local   earthquakes   bedfellow cricket!
oh! i ate them   all   and oh! what a   stomach-ache...   green stolen apples
now in sad   autumn   as i take my   darkening path ...   a solitary bird
at our last   parting   bending between   boat and shore...   that weeping willow
at furue in   rain   gray water and   gray sand...   picture without lines
oh sorry tom-cat   bigger blacker   knights of love   have knocked you out!
the old   fisherman   unalterably   intent...   cold evening rain
while i turned   my head   that traveler   i'd just passed ...   melted into mist
visiting the   graves ...   trotting on to show   the way ...   old family dog
will we meet   again   here at your   flowering grave...   two white butterflies?
so enviable...   maple-leaves   most glorious   contemplating death
shocking ...   the red of   lacquered fingernails   against   a white chrysanthemum
dry cheerful   cricket   chirping, keeps   the autumn gay ...   contemptuous of frost
deepen, drop,   and die   many-hued   chrysanthemums...   one black earth for all
before boiled   chestnuts   cross-legged lad   is squatting...   carved wooden buddha
defeated in the   fray   by bigger battlers   for love...   tom-cat seeks a mouse
asking their road...   seven yellow   bamboo hats   all turned together
torches! come   and see   the burglar i have   captured...   oh! my eldest son!
autumn   mosquitoes   buzz me, bite me ...   see, i am   long prepared for death
nice: wild   persimmons...   and notice how   the mother   eats the bitter parts
gray marsh,   black cloud   flapping away   in autumn rain   last old slow heron
first white   snow of fall   just enough to bend   the leaves   of faded daffodils
what a gorgeous   one   that fat sleek huge   old chestnut   i could not get at ...
none broke the   silence...   nor visitor   nor host ... nor   white chrysanthemum
if you were   silent   flight of herons   on dark sky ...   oh! autumn snowflakes!
chilling autumn   rain...   the moon, too bright   for showers,   slips from their fingers
rainy-month,   dripping   on and on   as i lie abed...   ah, old man's memories!
november   sunrise...   uncertain, the cold   storks stand ...   bare sticks in water
from dark windy   hills   voices driving   weary horses ...   shouting of the storm
slanting lines   of rain...   on the dusty   samisen   a mouse is trotting
oh former   renter   i know it all, all ...   down to   the very cold you felt
gray moor,   unmarred   by any path ...   a single branch ...   a bird ... november
lonely umbrella   passing the house   at twilight...   first snow falling soft
carven gods   long gone...   dead leaves alone   foregather   on the temple porch
five or six of   us   remain, huddled   together...   bent old willow-trees
plume of pampas   grass   trembling   in every wind...   hush, my lonely heart
tea-water,   tired   waiting while we   watched the snow...   froze itself a hat
cold first   winter rain...   poor monkey,   you too could use   a little woven cape
winter rain   deepens   lichened letters   on the grave...   and my old sadness
cold winter   shower ..   see all the people   running   across seta bridge!
old weary   willows...   i thought how long   the road would be   when you went away
no oil to read   by ...   i am off to bed   but ah!...   my moonlit pillow
descending   seaward   far-off mountain   waterfall...   winter nights are still
all heaven and   earth   flowered white   obliterate...   snow ... unceasing snow
considerate   dogs ...   stepping off   into the snow   as i walk the path
but when i   halted   on the windy street   at twilight...   snow struck against me
call him back!   ah no,   he's blown from sight   already...   fish-peddler in the snow
crossing it alone   in cold moonlight...   the brittle bridge   echoes my footsteps
such a little   child   to send to be   a priestling   icy poverty
windy winter   rain...   my silly big   umbrella   tries walking backward
buddha on the   hill...   from your holy   nose indeed   hangs an icicle
this snowy   morning   that black crow   i hate so much...   but he's beautiful!
look at the   candle!   what a hungry wind   it is...   hunting in the snow!
if there were   fragrance   these heavy snow-   flakes settling...   lilies on the rocks
ah! i intended   never never   to grow old ...   listen: new year's bell!
snow-swallowed   valley:   only the   winding river...   black fluent brush-stroke
roaring winter   storm   rushing to its   utter end ...   ever-sounding sea
eleven brave   knights   canter through the   whirling snow...   not one bends his neck
going   snow-viewing   one by one the   walkers vanish...   whitely falling veils
"yes, come   in!" i cried...   but at the windy   snow-hung gate   knocking still went on
see: surviving   suns   visit the ancestral   grave ...   bearded, with bent canes
the orphan   speaks:   the year-end party...   i am even envious   of scolded children
i gave the   greetings   of the bright   new year ... as though   i held a plum-branch
on jolly new   year's day   my last year's bills   drop in   to pay their compliments
death-song:   leaf alone, fluttering   alas, leaf alone,   fluttering ...   floating down the wind
death-song:   i have known lovers...   cherry-bloom ...   the nightingale ...   i will sleep content
death-song:   fever-felled half-way,   my dreams arose   to march again...   into a hollow land
death-song:   three loveliest things:   moonlight ... cherry-   bloom ... now i go   seeking silent snow
driftwood beach wondering if it's too late to put down roots
caressed by sea air	oranges swell with the sight	of gogoshima
menage a trois	on a citrus tree	summer dreams
orange blossoms --	on the piano lid	a sky full of stars
cycle-weary	a yen	for the ferryman
spring pedaling	on the marine road	through the islands
the wake	of an upstream eel	in dawn's light
marina --	i cast anchor	near the moon
matsuyama bay	ancestors come and go	with the tide
after the storm	whose life will go on	nobody knows
driftwood:	the way an old dog	settles his chin on your knee
airport sunset	cherry notes	in the sake
life goes on	though my bike isn't here	spring breeze
part-time job	wearing a pirate's skull cap	sunken boats
last rites . . .	rain fading into	bird song
sunlit poppy . . .	the swirl	of her red skirt
bluest	on forgotten graves --	wild myosotis
delivery room--	the gentle light	of the beginning
huckleberries--	capturing the night	in the jam jar
clearing sky	the gum tree bursts into	rainbow lorikeets
child soldiers--	a young buck takes the moon	on its antlers
the whistle	of a wood duck . . .	her last breath
still there . . .	soul of the caterpillar	in the butterfly
sunlight through fog . . .	the half-life	of falling leaves
leaf-cast shade	a hoverfly moves around	a spot of sunshine
snow in the treetops--	a lullaby too heavy	for her to sing
moon and star ...	a stray goose becomes	an echo
so soft the snow no heroic measures
first light--	the tree explodes	with blackbirds
first autumn colour--	taking the heirloom	meant for my sister
first pond freeze	a water beetle pushes	against the ice
harvest moon	walking through	a van gogh
solar eclipse...	folding, unfolding	moth wings
what was left	by the riverside...	deepening dusk
white butterfly	drifting through all	she left behind
white peony tea--	snow so fine the night	has flowered
the soft snow falls	on the hill, on my roof and	on the homeless
cold winter day	she phones her mother who says:	<who are you?>
half-light a dinghy adrift
late winter sunset slides across lake ice
spring melt	his ashes still	not scattered
alone this winter	counting the nights	counting the stars
her owl	(as if it were hers)	holed up	in the old oak
fallen bread knife	the waiter picks up	a slice of sky
dark shadows	trying to make sense	of her x-ray
some wounds	take forever to heal	tonight's red sky
through the screen door a cat's meow and lilacs
honeycomb...	everything she can't	remember
a red ribbon	writhing in the street	bitter cold
solstice	the incense changes	direction
fallen leaves	we kick thru	their beauty
one way	into the labyrinth	a maple key
grapefruit harvest	the morning sun	left dangling
so much better	than we could do	the frog's stillness
g	l     i  n	r	a	t	s		g          s	i          it	w	t	a
sawdust	father pauses to finish	the story
parade day...	another blue balloon	floats from reach
american dream	in each shop window	a different moon
folding sheets	the weight of a flag	still in my arms
snowbound:	the rosebushes	up to their hips
once before you go	receding snowbank	tell me your secrets
snowstorm	you've gained at least a pound	snowman!
tidy kitchen	knives all hidden	but handy
bikini top	pinned to the park noticeboard	end of summer
side by side	in the hammock	two unread books
a red maple leaf	that forgot to fall...	he fingers his shrapnel scar
setting off beeps	in my smoke detector	a daddy longlegs
to that scythe moon	looming over the hospice	his tranquil yielding
stargazer lilies	my quantum	of time
whispers of a fragrance	my sister loved	evening in spring
snowflakes...	all the little	self-indulgences
star gazing...	one frog answers	another
night comes early	the last of the potatoes	have eyes
indian paintbrush	the myriad colours	of a fire rainbow
the long day	a maple key's twirl	wherever
intermission	a fly on the piano	walks a full scale
morning hush	the fisherman casts	a thread of sunlight
spring evening	playing my piano	for all the street to hear
daylight moon	the chrysanthemums	have covered your name
4-way stop	everyone waits	for the red corvette
autumn light	just this much	to go on
mountain clearing	a hawk carves	all the rest
farmer's scythe	a harvesting song	in each sweep
endless rain	in my mother's kitchen	the snap, snapping of beans
a heat wave	the butterfly	fans its shadow
autumn foliage past its peak	the pathway home	in sepia
meadow pond	our blades slice figures	on the moon
retirement home	each time the heron comes	another goldfish gone
foreign airport	a baby's cry	takes me farther from home
they all hush	when she walks past	sparrows in the hedge
cattails in moonlight	no such	urges at my age
the only sound	a blue dragonfly	between bulrushes
the turning tide at standstill sandhill cranes
persimmon still hanging the extra day of the year
light snow	a sweep of starlings	over the barn
a strange cat	crouched on the welcome mat	the short day
ice storm	the crackle of wood	in the fire
sundown	wild geese gather	on the silver lake
sugaring off	the staccato tapping sound	of a woodpecker
father's day	the kite string pulls	from my hand
waning moon	the fox's bloody footprint	in the snow
after the air show	turkey vulture	quietly soars
the paramedic feeling	for a pulse	fireflies
in her hand	the downed branch	dancing again
white ice on the willows	my hand slipping	into yours
long spring evening:	double-decker	gets fitted with new ads
a sliver of clay	flies off the potter's wheel	the moon almost full
fading harbour light	becoming brisker	her brush strokes
first warm day	father gets out	his cap and cane
the train's whistle	for a moment long grass	blowing west
the wad of paper	uncrumples	longest night
more news of the war	looking deeper	into my dog's eyes
sugar maple	the fingerless gloves	of the fiddler
a whitetail flickers	into birch...	what time i have left
valentine's day	the twinging	of angina
solstice	minnows darting above	their darker selves
silhouette	the moon outlines	her single breast
his sister's funeral	trimming his hair	before he goes
wild geese in flight	suddenly the sky	so wide
call of a loon...	cove light and shadow	ripple in
summer afternoon	settling into its shadow	the old labrador
keeping them for a day	the broken pieces	of the heirloom bowl
on the old wall	pictures of the past	the plaster falling.
easter sunday	neighbours on their knees	weeding
frozen lake	a crack, cleaving silence	to silence
into his trousers	the old tailor	pressing winter light
quiet suddenly,	and crossing the summer lake	the rain comes in sheets
autumn woods	a patch of low sunlight	just out of reach
the hurricane's approach	in the dark, a hickory nut	bounces off our car
moon at our window	the evening still bright enough	to sew that button
three days of downpour	my only horizon	an old umbrella
first day of spring	mosquito larvae wriggling	in a dinosaur track
currents taking us beyond	all the time	we care to measure
heat wave...	a memory of ocean	rushes in
dreaming in the flames	the stack of burning twigs	falls into nothing
path of pine needles...	he adds her	to his christmas list
passing train	water droplets cling	to the pussy willows
remembering dad	as the day of his passing	approaches
relaxing my arm	butterfly	on the bullseye
looking for work	the cold deepens	in the elbow joints
trying to call it off	her face keeps changing	in leaflight
sudden shower	the boys dash out	without shoes
first trick or treat	the toddler reaches	for her mother's face
christmas eve	the jostle of umbrellas	in a crosswalk
alone	even the moon	slips away
all the departure times	have faded...	a thin autumn rain
waiting-room radiator	paper leaves	tremble against their pins
late december evening	a fox tail tapers	to nothing
old couple worrying	what will eat	the crocuses this spring
this side of snow	steam rising	from the rice bowl
the clackity-clack	of the last roller coaster	a crescent moon
grosbeak's song	i brush on one more	wall color sample
the long day	he plants more tomatoes	than we can eat
north wind	a glistening drip of snot	from the rancher's nose
resting	in the wheelbarrow	last year's scarecrow
ringing phone	the bathroom scale	recenters itself
stillness...	the surveyor's orange ribbon	divides the fog
stuck in traffic	the white billboard	bigger than the moon
the moon	has found it for me	a mountain path
shift change	a coalminer squints	in the snowfall
first snow	how lightly	the cat steps
old priest,	his fingers dark	with newsprint
saddle shop	the worn seat	of her jeans
autumn evening	she lays out his clothes	on the bed
voices	ring	in this old tree
in the shadow of lilacs	a cat with her nose	in the air
the days shorten	seeing less and less	of our neighbours
open market	the gypsy baby clutches	a grape in her fist
90 this year	the fisherman reels in	a fighting trout
morning sun	a patch of frost	in the holstein's shadow
autumn dusk...	a weathered hand waves	from the train
first night of snow	sifting through	his box of old buttons
checking the obituaries	the dead leaves	curl under
our arguement lasts	long into the night	the windy trees
snowy morning	crows trading places	in the tree of heaven
daydreaming child   cloud in a puddle
cloudy day	giving the prism	a twirl
after love	this sweet burst	of cherry tomato
dried tadpole	stuck with a pin	ticking sleet
alone again	...the last raspberry	sharp on my tongue
leaves falling	the sudden blackness	of branches
midsummer rains	the glass on the stoop	half-full...
breast self-examination	a moth batters	the screened window
crosswinds	just a black centre	on the straw poppy
autumn butterfly	open	on the warm boulder
cold and overcast...	dipping my banana slice	into sunflower seeds
fresh bloom	of lilac	my steps slow
today the tulips	tightly closedmy little boy's	sullen face
fly caught	in an abandoned web	...summer solstice
late august	pushing through cornstalks	midnight racoons
opening slowly	in the warm kitchenthe last	frost-scarred red rose
from reed to reed	a blackbird follows	its song
snow	the mourners	huddle closer
full moon	bullfrogs	all night
shadows shifting	over the reed bed	dark      light
mistletoe	his smile lines deepen	her blush
farmer's market	a child follows her stroller	filled with potatoes
cormorants	on the dock wings open	to greet the ferry
june:	a sprinkle of rain turning	bales to hay again
jagged hole	in thin lake-ice	the wolf's eyes
lake louise	silently i sit inside	a photograph
reed shadows	merge into the pond	faint coyote's howl
frost at the window	a bowl of white rice	steaming
so close the living the dying   roses in a blue bowl
the carousel spins	a girl's delirious laughter	july evening...
my delighted dog	gives me the grand tour amid	the rain-soaked blossoms
difference of opinion	the student's	loud voice
their last picnic	a cold wind folds her corner	of the blanket
selfish mother	her voice does not reach	white chrysanthemums
small stirrings	deep within the leaf pile	the cat's eyes darken
planting tulips	for a moment	liking myself
months after chemo	i find her hair	in the bluebird's nest
rain, song in a field	grandfather's long hoe flying	sprouts row beside row
first day of spring.	a little girl drawing the sun	on the sidewalk
image of the moon	streaked by a flock of birds	just for a while
end of october	in the vase without flowers	stale-smelling water
walking in the woods	a chestnut drops on my head:	autumnal greeting
after the funeral	the onion moves him	to tears
meeting with boss	i knot and then unknot	my tie
an empty field--	a forgotten scarecrow	in late autumn
window moon--	the quiet sound between	tick and tock
with thin threads	a spider knitted a fly in	a white cradle
cherries in bloom	the delicate application	of makeup to bruise
funeral	folding lilac scent	into his burial flag
shifting expectations dandelion fluff
dusk on the mountaintop as if i had wings
forgotten garden	a fig tree enters	the fog
solar eclipse	your halo	slips a little
rental truck	filling our house	with echoes
spring sea	the fishing boats	go out in pairs
eviction	i pack the pieces	of my favorite bowl
summer sky	i stare into the blue	of my baby's eyes
springtime	dust comes	to light
from god's lips	to my ears	spring breeze
leaf color of an old song turning
death notice	daylilies divided	for another garden
spring thaw	the stone buddha	still still
crocus	after such a long time	saying yes
which way out	the exterminator points	with his spray tip
you can forget	how to ride a bike	autumn leaves
wildfire the night sky full of pine
mist at dawn	from the other side	a loon's call
deepening twilight	no way to answer	the grosbeak's song
a long list of regrets the maple in autumn
rhubarb leaves	how they soften	the pelting rain
zen garden	in the raked furrows	pine needles gather
pieces of sky	in the forest canopy	summer's end
the honking	of geese heading south	our wordless smiles
longest day	the stallion drinks	straight from the hose
a few leaves	still on the trees...	the train's faint call
dead sea scrolls	my mother still has	my baby teeth
family chapel	my ancestor's patina	on the seats
cyber problem	i borrow my neighbour's	9-year-old
after the funeral	we get into	our comfortable clothes
men's retreat	toilet seats left	down
secular guest	thankful no one feels the need	to say grace
transit lounge	the toppled suitcase	left that way
funeral day	family feuds	not laid to rest
autumn leaves...	learning	i'm dispensable
solstice moon	the sound of the mousetrap	snapping shut
to each other	in the dark	waving lanterns
aspen...	i lose a word	or two now and then
the old mare's grave	already dug	april rain
mother's day card	the attempt to say more with less	written larger
the grief still fresh...	a leaf comes to rest	on its shadow
home office	my wife sends me an email	from the bedroom
overdue	the librarian's	smile
after the concert	the conductor motions	for his coat
retirement day	my plastic i.d.	snaps in half
he talks about	his asset allocation	skimming bugs from the pool
the heart	drawn in snow	still falling
and so i agree	not to die before she does	the sound of crickets
water thrush...	as if time never	visited here
mockingbird...	but there ought to be	a moon
the gazing space	between us empty	deepening autumn
this day...	snow blossoms	on the plum tree
higher than the roof	the peace rose planted	three wars ago
used bookstore	the creaking stairway	to poetry
corn maze	we tell the kids	to get lost
the guest preacher	in his sunday best	passing thunder
frescoed chapel...	i insert a euro	and then there is light
burial plot	the salesman offers	a free will kit
red lipstick	her laughter at his jokes	louder than mine
sizing me up	the jeweler measures	her ring finger
summer	one bumblebee	deepens the hum
weathered bench	i open my palms	to the winter sky
hollow center	of the raspberry	mother's silence
ouija board evening	through the trees	a window of sky
cold morning	the saw's song changes	in the heartwood
the shadow	bigger than the pebble...	hunter's moon
second miscarriage	chalk flowers dissolve	in a late spring rain
after the dentist	prying open	the oyster
night-nurse	see how she tip-toes	over the moon
passing the cream puffs	the guest of honor full	of herself
reunion	almost forgotten	the old me
my death poem	rejected	i carry on
tax deadline	everybody says	it's nice outside
mackerel sky	the final wave	before you board
hiroshima day	cigarette-pack cellophane	uncrumpling
end of summer	my garden	in one wheelbarrow
valentine's morning	returning redpolls	alight on fresh snow
the long stride	of a stranger's walk	autumn sky
dark spots	in the honesty pods	looming rain
summer solstice	the backyard venus	knee-deep in weeds
family secrets	the shape	of a popped kernel
funeral	we pray a split second	after the priest
end of summer	press one	to confirm
from bee sting	to emergency room	six stop lights
autumn dusk	a word that will do	for the one i can't find
contractions	the darkness	between stars
a rack of antlers	nailed to the gatepost	lingering heat
gone to bed angry	the din	of summer insects
winter night	one ear listening	to the pillow
unexpected visit	from an old friend	flowers on the bramble
spading the garden	each earthworm half	goes its own way
honeymoon dinner	nothing to talk about	until the tip
coughing, the exterminator	assures me	his work is safe
polite conversation	i try to extract	the last cookie
reunion dance	this time she lets him	crush her corsage
his cluttered house	sorting through books	on chaos theory
embarrassed	by the lavish praise	i imagine getting
continental divide	i look for the place	to                    pee
old steeple	a turban of pigeons	unwinds the hour
sunflowers	the tube of cadmium yellow	squeezed flat
spring rain	the chameleon busy	being green
road flares...	against the bent guardrail	an unknown flower
late afternoon	cow's udders	graze the ground
how heavy	the empty can	of slim-fast
the waterfall	a tourist can't stop	talking
nursing home	my father	the way i left him
carrying a pencil	into the zendo	no point to it
practicing	her signature	the newlywed
a phoebe's erratic flight	this canoe trip	won't solve anything
autumn sunset	the wake of a tugboat	sloshes ashore
indian summer	rust on our hands	from the swing
year end	a trail of footprints crosses	the old pond
first snow	some time left	on the parking meter
trapped	in the vinegar bottle	mother
3-block main street	the waitress asks if we want	menus
tourists talking	in several languages	the glassblower exhales
new snow	the arc	the door makes
overnight rain	a reflection by the runway	levitates
tree-filled swamp...	the silent air	its own shade of green
evoking clusters	of algebraic symbols	smell of tangerine
table for one	the candle flickers	in an abalone shell
summer's end	he refuses	dialysis
bamboo whisk...	the tea master's	fluid hands
condoms:	the checker asks me to slide	my card more slowly
japantown shop	the identical bellies	of buddha and santa
uncle's trophy wife	the slices of mango	rimmed with green
body work	the crucifix gleaming	on the mechanic's chest
rewound movie	she sleeps	through it again
funeral	for the kid	chosen last
redwood shade	a banana slug eating	my worries
desert heat	the lizard disappears	into a snake
twin towers...	and yet the morning glory	blooms
haiku judge	i press ear	to paper
board meeting	a jumbo jet roars	into his yawn
agate beach	finally finding one	in a gift shop
